id,name,description,event_type,start_date,end_date,latitude,longitude,location_name,city,expected_attendance,source,source_url,status,impact_radius_km,created_at,updated_at
1,Chennai Cultural Festival,Annual south-Indian classical dance and music carnival drawing massive heritage crowds.,Festival,2026-09-12,2026-09-17,13.0827,80.2707,Jawaharlal Nehru Stadium & Kalaivanar Arangam,Chennai,12000,Tamil Nadu Tourism & Arts Board,internal://curated/events,active,15.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
2,Mumbai International Film & Fashion Gala,Star-studded red carpet and fashion exhibitions attracting lifestyle shoppers.,Exhibition,2026-09-15,2026-09-19,19.065,72.865,"Jio World Convention Centre, BKC",Mumbai,15000,BKC Event Council,internal://curated/events,active,12.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
3,Bengaluru Indie Music & Youth Fest,Three-day outdoor concert with top indie rock and pop artists.,Concert,2026-09-19,2026-09-21,12.97,77.59,"Palace Grounds, Bengaluru",Bengaluru,22000,Live Events Karnataka,internal://curated/events,active,14.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
4,Delhi Diwali Grand Utsav,"Historic pre-Diwali artisan crafts, ethnic clothing and lifestyle fair.",Festival,2026-09-25,2026-09-30,28.6139,77.209,Major Dhyan Chand National Stadium,Delhi,45000,Delhi Tourism Board,internal://curated/events,active,20.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
5,Hyderabad Inter-University Conclave,Collegiate sports and cultural battle featuring 30 regional colleges.,College Event,2026-09-13,2026-09-15,17.44,78.348,Gachibowli Stadium,Hyderabad,18000,Telangana Higher Ed Forum,internal://curated/events,active,10.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
6,Pune Half Marathon & Activewear Expo,Major city marathon with attached fitness apparel and sportswear pavilion.,Sports Event,2026-09-20,2026-09-21,18.5204,73.8567,Shivaji Nagar Grounds,Pune,14000,Pune Athletic Club,internal://curated/events,active,12.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
7,Kolkata Durga Puja Cultural Carnival,Pre-Puja festive street processions and pandal inaugurations.,Religious/Cultural Event,2026-09-23,2026-09-29,22.5726,88.3639,Red Road & Park Circus,Kolkata,60000,West Bengal Cultural Heritage,internal://curated/events,active,25.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
8,Mumbai Monsoon Street Carnival (CANCELLED),"CANCELLED DUE TO ADVISORY. Planner entered +30% uplift earlier, but event was officially called off.",Festival,2026-09-10,2026-09-11,19.055,72.83,Carter Road Promenade,Mumbai,12000,Bandra Citizen Forum,internal://curated/events,cancelled,10.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
9,Bengaluru Viral Youth Flash Mob & Concert,"Attendance viral spike: Planner anticipated 5,000 attendees (+20%), but turnout exploded to 35,000.",Concert,2026-09-11,2026-09-12,12.975,77.605,Kanteerava Stadium,Bengaluru,35000,Social Media Virality,internal://curated/events,active,12.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
10,Chennai Suburb Industrial Heavy Expo,Event located 42km outside city limits in Sriperumbudur. Proximity attenuation engine must flag weak relevance.,Exhibition,2026-09-17,2026-09-20,12.967,79.94,Sriperumbudur Industrial Centre,Chennai,8000,State Industrial Board,internal://curated/events,active,15.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
11,Delhi Heritage Crafts Mela (Overlapping),Concurrently running alongside Delhi Autumn Food Fest on same dates in Central Delhi.,Festival,2026-09-16,2026-09-18,28.625,77.215,Janpath Ground,Delhi,20000,Crafts Council,internal://curated/events,active,12.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
12,Delhi Autumn Street Food & Music Fest,Overlapping event at neighbouring Rajiv Chowk arena creating demand saturation.,Shopping Event,2026-09-16,2026-09-18,28.63,77.22,Connaught Place Inner Circle,Delhi,25000,Delhi Culinary Guild,internal://curated/events,active,10.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
13,Pune Street Canvas & Bohemian Fair,Unregistered grassroots street fair with 0 reported attendance figures and incomplete timing.,Other,2026-09-14,2026-09-15,18.53,73.84,JM Road bylanes,Pune,0,Unverified Blog,internal://curated/events,pending,8.0,2026-09-05 07:12:52.758431,2026-09-05 07:12:52.758431
14,Chennai Pongal Mega Bazaar (Historical),Past harvest festival event used for benchmark training.,Festival,2026-07-22,2026-07-27,13.08,80.26,Island Grounds,Chennai,30000,Historical Records,internal://curated/events,completed,15.0,2026-09-05 07:12:52.762599,2026-09-05 07:12:52.762599
15,Mumbai Kala Ghoda Arts Festival (Historical),Past arts and cultural fair.,Cultural,2026-08-06,2026-08-11,18.928,72.832,Kala Ghoda District,Mumbai,25000,Historical Records,internal://curated/events,completed,12.0,2026-09-05 07:12:52.762599,2026-09-05 07:12:52.762599
